HEORG_REFNO,HealthOrg_Description,Postal_Address,Postal_Suburb,Postal_State,Postal_Postcode,Fax,Phone,Work_Phone,Mobile_Phone,Email
67568,Camberwell Urology,31 Fairholm Grove,CAMBERWELL,VIC,3124,03 9882 0757,03 9882 0299,NULL,NULL,info@geoffreywells.com.au
61768,Camberwell Wellbeing Centre - Remedial Massage,1 Whitehorse Road,DEEPDENE,VIC,3103,NULL,0438 213 532,NULL,NULL,jenny@camberwellwellbeingcentre.com.au
15722,Cambourne Clinic,196A Liebig Street,WARRNAMBOOL,VIC,3280,03 5561 2829,03 5561 2077,NULL,NULL,office@cambourneclinic.com.au
66097,Cambridge Dental,362 Warrigal Road,ASHBURTON,VIC,3147,03 9885 5176,03 9885 4281,NULL,NULL,info@cambridge-dental.com.au
18210,Cambridge House,3 Cambridge St,Collingwood,VIC,3066,NULL,9417 6021,NULL,NULL,NULL
15720,Cambridge Medical Centre,2 Cambridge Drive,GLEN WAVERLEY,VIC,3150,03 9887 8115,03 9886 1077,NULL,NULL,NULL
61686,Cambridge Park Medical Centre,"Unit 5, 1 Stanton Place",CAMBRIDGE,TAS,7170,03 6248 4605,03 6248 4808,NULL,NULL,cambridge.reception@rmcentre.com.au
69172,Cameron Dental Care Wodonga,1 Park View Close,WODONGA,VIC,3690,NULL,02 6024 7966,NULL,NULL,info@camerondentalcare.com
18211,Cameron Gardens,1061 Centre Rd,Oakleigh South,VIC,3167,9570 8122,9570 6267,NULL,NULL,NULL
68467,Cameron Greig Physiotherapy,693 Brunswick Street,FITZROY NORTH,VIC,3068,NULL,03 9486 6666,NULL,NULL,NULL
62947,Camille Baker - Psychology,"Melbourne Health Rooms, 179 CENTRE ROAD",BENTLEIGH,VIC,3204,NULL,0405 225 730,NULL,NULL,camillebakeris@gmail.com
45330,Camms Road Medical Centre,25 Camms Road,CRANBOURNE,VIC,3977,03 5995 1266,03 5995 1288,NULL,NULL,admin@cammsrdmedical.com.au
17275,Camp Medical Centre,212 Blair Street,DALLAS,VIC,3047,03 9309 3203,03 9309 9340,NULL,NULL,NULL
35954,Camp Road Family Clinic,428 Camp Road,BROADMEADOWS,VIC,3047,03 9351 1367,03 9309 9978,NULL,NULL,jjmedicalfamilyclinic@gmail.com
68824,Camp Road Specialist Centre,383 Camp Road,BROADMEADOWS,VIC,3047,03 9309 6740,03 9309 1854,NULL,NULL,NULL
61011,Campaspe Dental Care,525 High Street,ECHUCA,VIC,3564,03 5480 7649,03 5482 1217,NULL,NULL,info@campaspedentalcare.com.au
65270,Campaspe Dental Practice,7 25 Caroline Chisholm Drive,KYNETON,VIC,3444,NULL,03 5422 3988,NULL,NULL,info@campaspedental.com.au
23809,Campaspe Family Practice,7-25 Caroline Chisholm Drive,KYNETON,VIC,3444,03 5422 2788,03 5422 2877,NULL,NULL,campaspe@campaspefp.com.au
22086,Campaspe Medical Centre,12 Village Drive,Rochester,VIC,3561,5484 4466,5484 4480,NULL,NULL,NULL
25689,Campaspe Medical Centre,14 VILLAGE DRIVE,ROCHESTER,VIC,3561,5484 4466,03 5484 4480,NULL,NULL,cmcadmin@redhs.com.au
60587,Campbell Town Surgery,70 High Street,CAMPBELL TOWN,TAS,7210,03 6381 1123,03 6381 1133,NULL,NULL,campbelltown@longfordsurgery.com.au
19311,Campbellfield - Maternal & Child HC,25 Blackwood Crescent,Campbellfield,VIC,3061,NULL,03 9359 6104,NULL,NULL,NULL
34193,Campbelltown Medical & Dental Centre,296 Queen Street,Campbelltown,NSW,2560,02 4628 4186,02 4628 3777,NULL,NULL,NULL
64692,Camperdown Chiropractic Centre,15 Pike Street,CAMPERDOWN,VIC,3260,03 5593 2230,03 5593 3220,NULL,NULL,cdownchiro@tca-online.com.au
15724,Camperdown Clinic,56 Scott Street,CAMPERDOWN,VIC,3260,03 5593 2176,03 5593 1222,NULL,NULL,manager@camperdownclinic.com.au
66465,Camperdown Resilience Centre,194A Manifold Street,CAMPERDOWN,VIC,3260,NULL,0425 224 726,NULL,NULL,NULL
44530,Campsie Family Medical Centre,248 Beamish Street,Campsie,NSW,2194,02 9718 0933,02 9718 0633,NULL,NULL,NULL
25349,Campsie Healthcare Medical Practice,157 - 159 Beamish Street,Campsie,NSW,2194,02 9787 5500,02 9787 9766,NULL,NULL,NULL
65065,Canadian Bay Dental,160 Canadian Bay Road,MOUNT ELIZA,VIC,3930,03 9787 8410,03 9787 2776,NULL,NULL,reception@canadianbaydental.com.au
41290,Cancer Melbourne with Oncology Specialists of Melbourne,43 Erin Street,RICHMOND,VIC,3121,9427 0847,03 9069 8282,NULL,NULL,info@oncology.com.au
61830,Cancer Specialists,"Level 1, 84 Bridge Road",RICHMOND,VIC,3121,03 94216372,03 9421 6425,NULL,NULL,info@cancerspecialists.com.au
65609,Cann Valley Bush Nursing Centre,27 Monaro Highway,CANN RIVER,VIC,3890,03 5158 6409,03 5158 6274,NULL,NULL,cvbncadmin@gha.net.au
60860,Canterbury Anaesthetic Services,"Level 3 Suite 305, 116-118 Thames Street",BOX HILL NORTH,VIC,3129,03 9898 4899,03 9898 2744,NULL,NULL,bookings@casgroup.com.au
64997,Canterbury Clinic,508 Canterbury Road,VERMONT,VIC,3133,03 9873 1477,03 9873 0809,NULL,NULL,admin@canterburyclinic.com.au
63088,Canterbury Eye Care,124 Maling Road,CANTERBURY,VIC,3126,03 9888 6477,03 9888 6377,NULL,NULL,look@canterburyeyecare.com.au
66258,Canterbury Eye Specialists,208 Canterbury Road,CANTERBURY,VIC,3126,03 9830 0288,03 9836 3677,NULL,NULL,reception@dmcollie.com
68787,Canterbury Family Dental,214 Canterbury Road,CANTERBURY,VIC,3126,03 9836 0210,03 9830 5182,NULL,NULL,info@canterburyfamilydental.com.au
65230,Canterbury Garden Medical Centre,51 Blandford Crescent,BAYSWATER NORTH,VIC,3153,03 9729 9248,03 9720 3199,NULL,NULL,info@cgmc.com.au
70014,Canterbury Hospital,575 Canterbury Road,Campsie,NSW,2194,02 9153 2636,02 9153 0092,NULL,NULL,NULL
62385,Canterbury Medical Clinic,215 Canterbury Road,CANTERBURY,VIC,3126,03 9836 1041,03 9836 2402,NULL,NULL,reception@canterburymedical.com.au
49651,Canterbury Neurology,567A Canterbury Road,SURREY HILLS,VIC,3127,03 9978 4828,03 9836 3797,NULL,NULL,admin@canterburyneurology.com.au
18212,Canterbury Private Nursing Home,14 Balwyn Rd,Canterbury,VIC,3126,9888 5027,9836 1113,NULL,NULL,NULL
18213,Capel Sands Aged Care,8-16 Capel Ave,Rosebud West,VIC,3940,NULL,5982 1811,NULL,NULL,NULL
67190,Capital Radiology - Altona North,156 158 Millers Road,ALTONA NORTH,VIC,3025,03 9314 1623,03 8378 4988,NULL,NULL,NULL
66728,Capital Radiology - Balaclava,"Suite 5, 285 Carlisle Street",BALACLAVA,VIC,3183,03 9527 3788,03 8552 9552,NULL,NULL,NULL
63719,Capital Radiology - Berwick,18 Langmore Lane,BERWICK,VIC,3806,03 9769 7988,03 9707 1544,NULL,NULL,web@mdi.net.au
66896,Capital Radiology - Clayton,1383 Centre Road,CLAYTON,VIC,3168,03 9543 1919,03 9565 4888,NULL,NULL,NULL
64589,Capital Radiology - Dandenong,54/56 Princes Highway,DANDENONG,VIC,3175,NULL,03 8788 9888,NULL,NULL,info@capitalradiology.com.au
62170,Capital Radiology - Epping,"Unit 1, 500 High Street",EPPING,VIC,3076,03 9401 3979,03 8401 8401,NULL,NULL,info@capitalradiology.com.au
63035,Capital Radiology - Moorabbin,"Suite 2, 999 Nepean Highway",MOORABBIN,VIC,3189,03 9553 1191,03 9553 3499,NULL,NULL,info@capitalradiology.com.au
64212,Capital Radiology - Sydenham,530 Melton Highway,SYDENHAM,VIC,3037,03 9449 3066,03 8361 4488,NULL,NULL,NULL
66550,Capital Radiology - Wallan,65 Wellington Street,WALLAN,VIC,3756,03 5783 1898,03 5783 1868,NULL,NULL,NULL
65053,Capital Radiology - Western Private Hospital - Footscray,1 9 Marion Street,FOOTSCRAY,VIC,3011,03 9317 0899,03 9236 4088,NULL,NULL,info@capitalradiology.com.au
67015,Capital Radiology - Williamstown,89 Ferguson Street,WILLIAMSTOWN,VIC,3016,03 9397 4811,03 9399 6000,NULL,NULL,NULL
61876,Capital Radiology Boronia,41 Boronia Road,BORONIA,VIC,3155,03 9762 0199,03 9754 9490,NULL,NULL,info@capitalradiology.com.au
65395,Capstone Medical Centre,"Shop 1, 521 Toorak Road",TOORAK,VIC,3142,03 4106 4744,03 8807 2511,NULL,NULL,NULL
50830,Capstone Medical Centre Bairnsdale,"Shop 12, 30 Howitt Avenue",EASTWOOD,VIC,3875,03 5152 7139,03 5152 7135,NULL,NULL,bairnsdale.reception@capstonemc.com.au
10941,Capstone Medical Centre Southbank,"Ground Floor  Unit 2, 216 City Road",SOUTHBANK,VIC,3006,03 9645 9959,03 9686 2222,NULL,NULL,admin@capstonemc.com.au
66926,Captivate Dental,36 CHESTERVILLE ROAD,CHELTENHAM,VIC,3192,03 9553 1247,03 9553 1249,NULL,NULL,info@captivatedental.com.au
66905,Cara Baillie Paediatrics,"Former Network Video, Shop 1, 9 Peart Street",LEONGATHA,VIC,3953,03 4106 4884,0400 847 843,NULL,NULL,cara@carabailliepaediatrics.com.au
49690,Carbal Medical Services,55 Wood Street,Warwick,QLD,4370,07 4661 0850,07 4661 0800,NULL,NULL,NULL
12203,CARDIAC DYNAMICS,CARDIAC DYNAMICS 106 THAMES STREET,BOX HILL,VIC,3128,9899 5200,9890 0890,NULL,NULL,NULL
9621,Cardiac Services Victoria,The Northern Hospital 185 Cooper Street,Epping,VIC,3076,NULL,NULL,NULL,NULL,NULL
18214,Cardinal Knox Village,69 Langhorne St,Dandenong,VIC,3175,9706 7452,9791 2777,NULL,NULL,NULL
9465,Cardinia Community Health Service Inc. (Southern Health),Princess Highway,PAKENHAM,VIC,3810,(03) 5941 0542,(03) 5941 0500,NULL,NULL,NULL
63950,Cardinia Dental,41 Main Street,PAKENHAM,VIC,3810,03 5941 2993,03 5941 2993,NULL,NULL,cardinia@cardinia-dental.com.au
42952,Cardinia Lakes Family Clinic,"Shop 5, 140 Windermere Boulevard",PAKENHAM,VIC,3810,03 5925 7716,03 5925 7712,NULL,NULL,info@cardiniafamilyclinic.com.au
60744,Cardinia Medical Centre,158-160 PRINCES HIGHWAY,PAKENHAM,VIC,3810,03 5941 6015,03 5941 6013,NULL,NULL,reception@cardiniamedicalcentre.com.au
12197,CARDINIA MEDICAL CENTRE,180 Princes Highway,Pakenham,VIC,3810,5941 6015,5941 6013,NULL,NULL,NULL
66076,Cardinia Osteopathic Clinic,7 John Street,PAKENHAM,VIC,3810,NULL,03 5940 3036,NULL,NULL,NULL
68099,Cardio Vascular Services - Armadale,"Ground Floor Suite 2, 615 Dandenong Road",ARMADALE,VIC,3143,03 9510 3299,03 9533 7133,NULL,NULL,melbourne.admin@cvs.net.au
64317,Cardio Vascular Services - Kew East,215 Kilby Road,KEW EAST,VIC,3102,03 9510 3299,03 9533 7133,NULL,NULL,melbourne.admin@cvs.net.au
66250,Cardiolab,"Level 1 Suite 103, 9 Claremont Street",SOUTH YARRA,VIC,3141,03 9329 3200,03 9328 2588,NULL,NULL,info@cardiolab.com.au
42150,Cardioresp Services,"Elgar Hill Medical Suites, Suite 6, 28-32 Arnold Street",BOX HILL,VIC,3128,03 9897 4199,03 9897 4100,NULL,NULL,admin@cardioresp.com.au
68062,CardioScope,Confidential Address Retreat,ENDEAVOUR HILLS,VIC,3802,03 8456 6996,0432 807 833,NULL,NULL,NULL
39452,Care 4 Eyes,"Shop 1, 42 Jackson Court",DONCASTER EAST,VIC,3109,03 9848 2766,03 9848 2766,NULL,NULL,NULL
19036,Care Connect Ltd,Ground Floor 75 Moreland St,Footscray,VIC,3011,03 9362 8099,03 9363 8000,NULL,NULL,NULL
34090,Care Family Practice,264 Manningham Road,TEMPLESTOWE LOWER,VIC,3107,03 9852 4410,03 9852 4440,NULL,NULL,medical@carefamilypractice.com.au
69377,Care For Smiles Dental Clinic,"Care For Smiles, 254 Darebin Road",FAIRFIELD,VIC,3078,NULL,03 9482 1100,NULL,NULL,info@careforsmiles.com.au
67657,Care Forward North,403-405 West Tamar Road,RIVERSIDE,TAS,7250,03 6331 0388,03 6331 0803,NULL,NULL,info@careassess.com.au
60873,Care Forward North West,11 Steele Street,DEVONPORT,TAS,7310,1300 657 728,1300 364 876,NULL,NULL,info@careforward.com.au
63389,Care Forward South,6 Bayfield Street,ROSNY PARK,TAS,7018,03 6244 7711,03 6244 7700,NULL,NULL,southreferral@careforward.com.au
69023,Care Gynaecology,"The Gardens, Level 6, 470 WODONGA PLACE",ALBURY,NSW,2640,02 6041 1083,02 6058 6188,NULL,NULL,NULL
63368,CarePlus Dental,"Gladstone Park Shopping Centre, Shop 105, 8-34 Gladstone Park Drive",GLADSTONE PARK,VIC,3043,03 9338 8221,03 9338 8220,NULL,NULL,NULL
60270,Carepoint Medical Centre,283 Trower Road,Casuarina,NT,0810,08 8920 5556,08 8920 5555,NULL,NULL,NULL
19259,Carer Links North,Commonwealth Carer Respite Cent. Northern Region 4 Bruce St,Preston,VIC,3072,NULL,03 9495 2500,NULL,NULL,NULL
19260,Carer Links West,Commonwealth Carer Respite Cent. Western Region Level 1 / 37 Albert St,Footscray,VIC,3011,NULL,03 9396 9550,NULL,NULL,NULL
65650,Carfi Psychological and Rehabilitation Services,"The Clocktower Centre, Level 2 Suite 58, 255 Drummond Street",CARLTON,VIC,3053,1300 456 459,1300 737 403,NULL,NULL,info@carfi.net.au
67755,Caring and Gentle Dentistry,204 UPPER HEIDELBERG ROAD,IVANHOE,VIC,3079,NULL,03 9459 1534,NULL,NULL,cagdent@hotmail.com
61231,Caring Dental Group P/L,1045 Doncaster Road,DONCASTER EAST,VIC,3109,03 9841 6206,03 9841 8636,NULL,NULL,cdg.dental@gmail.com
67700,Caring Dentists - Dr Z Hassan,120 Mount Eliza Way,MOUNT ELIZA,VIC,3930,03 9787 9506,03 9787 1860,NULL,NULL,help@caringdentists.com.au
18215,Carinya Lodge Hostel,Carinya Crs (Off Swanson St),Korumburra,VIC,3950,NULL,5655 2125,NULL,NULL,NULL
18216,Carinya Residential Aged Care Unit,125 Golf Links Rd,Frankston,VIC,3199,NULL,9783 7277,NULL,NULL,NULL
67922,Caritas Christi Hospice,"Caritas Christi Hospice, 104 Studley Park Road",KEW,VIC,3101,03 9231 5666,03 9231 5000,NULL,NULL,NULL
9166,Caritas Christi Hospice Ltd [Kew],104 Studley Park Road,Kew,VIC,3101,NULL,03 3853 2344,NULL,NULL,NULL
67719,Carlee Holmes - Neurological Physiotherapy,Confidential Address,BRUNSWICK,VIC,3056,NULL,0433 562 420,NULL,NULL,clholmes@optusnet.com.au
10825,Carlisle Contemporary Health Practice,30 Carlisle Street,St Kilda,VIC,3182,9534 8800,9537 3600,NULL,NULL,NULL
62867,Carlsson Dental Clinic,484 Raglan Parade,WARRNAMBOOL,VIC,3280,03 5562 6470,03 5562 2300,NULL,NULL,admin@carlssondental.com.au
66061,Carlton Dental,184 Elgin Street,CARLTON,VIC,3053,03 9347 4808,03 9347 2033,NULL,NULL,reception@carltondental.com.au
66569,Carlton Eyecare Consultants,761 Nicholson Street,CARLTON NORTH,VIC,3054,03 9387 3877,03 9380 1711,NULL,NULL,NULL
26370,Carlton Family Medical,88 Rathdowne Street,CARLTON,VIC,3053,03 9347 9945,03 8330 3900,NULL,NULL,info@carltonfamilymedical.com.au
64312,Carlton Health Group,"Ground Floor, 143 Drummond Street",CARLTON,VIC,3053,NULL,03 9663 6688,NULL,NULL,budich@telstra.com
10806,Carlton Medical Centre,488 Rathdowne St,CARLTON NORTH,VIC,3054,0393806248,0393804655,NULL,NULL,carltonmedical@bigpond.com
66613,Carlton North Family Chiropractic,914 Lygon Street,CARLTON NORTH,VIC,3054,03 9387 8585,03 9387 4061,NULL,NULL,cnfchiro@bigpond.net.au
67691,Carlton North Naturopathy And Massage Centre,435 Canning Street,CARLTON NORTH,VIC,3054,03 9388 8431,03 9388 2442,NULL,NULL,info@marydepellegrin.com.au
65453,Carlton Physiotherapy Centre,567 Nicholson Street,CARLTON NORTH,VIC,3054,03 8080 6474,03 9387 4999,NULL,NULL,admin@carltonphysio.com.au
61736,Carmel Moran & Associates,444 Mitcham Road,MITCHAM,VIC,3132,NULL,03 9873 4157,NULL,NULL,NULL
68308,Carmel Whelan Chiropractic,"Suite 1, 211 Main Street",MORNINGTON,VIC,3931,03 5977 2124,03 5977 2123,NULL,NULL,info@chiropracticalchemy.com
69104,Carmen Jewell - Psychology,Confidential Address,WENTWORTH,NSW,2648,NULL,04 8824 1638,NULL,NULL,carmenjewell@aanet.com.au
68994,Carmoora Clinic,343 Moorabool Street,GEELONG,VIC,3220,03 5223 2176,03 5223 2616,NULL,NULL,frontdesk@carmoora.com.au
61678,Carn Brae Clinic,328 Glenelg Highway,WINTER VALLEY,VIC,3358,03 5331 8860,03 5332 1501,NULL,NULL,admin@carnbraeclinic.com
15738,Carnegie & Malvern Medical,1036 Dandenong Road,Carnegie,VIC,3163,9572 2112,9572 2211,NULL,NULL,NULL
60710,Carnegie & Malvern Medical Centre,1036 Dandenong Road,CARNEGIE,VIC,3163,03 9572 2112,03 9572 2211,NULL,NULL,cmmcmedical1036@gmail.com
23789,Carnegie Central Medical Clinic,"Carnegie Central, Level 2, 2 Koornang Road",CARNEGIE,VIC,3163,03 9572 3788,03 9572 3699,NULL,NULL,NULL
68215,Carnegie Dental Care,182 Koornang Road,CARNEGIE,VIC,3163,03 9563 1624,03 9563 0055,NULL,NULL,info@carnegiedentalcare.com.au
64027,Carnegie Dental Group,"Level 1, 1034 Dandenong Road",CARNEGIE,VIC,3163,03 9571 9017,03 9571 9016,NULL,NULL,admin@thecdg.com.au
70331,Carnegie Family Clinic,165-167 KOORNANG ROAD,CARNEGIE,VIC,3163,03 9959 8376,03 9070 0288,NULL,NULL,reception@carnegiefamilyclinic.com.au
12580,Carnegie Medical Centre,"Carnegie Medical Centre, 232 Koornang Road",CARNEGIE,VIC,3163,0395630299,0395685300,NULL,NULL,reception@carnegiemedicalcentre.com
65787,Carol Schulz - Clinical and Counselling Psychologist,176 Beach Street,FRANKSTON,VIC,3199,03 9781 0608,03 9781 0600,NULL,NULL,NULL
62678,Carol Wilson - Mind Material,"Unit 3, 1 BARKLY STREET",WARRAGUL,VIC,3820,03 9957 0307,0458 658 412,NULL,NULL,carol@mindmaterial.com.au
63637,Caroline Springs Dental Surgery,"Unit 8, 242 244 Caroline Springs Boulevard",CAROLINE SPRINGS,VIC,3023,03 8361 9755,03 8361 9722,NULL,NULL,receptioncsdental@gmail.com
64838,Caroline Springs Medical Centre,2-6 Caroline Springs Boulevard,CAROLINE SPRINGS,VIC,3023,03 8390 0564,03 8390 4443,NULL,NULL,dralani.melbourne@yahoo.com.au
61914,Caroline Springs Physiotherapy,1 Caroline Springs Boulevard,CAROLINE SPRINGS,VIC,3023,03 9363 1287,03 9363 7200,NULL,NULL,info@csphysio.net
62405,Caroline Springs Physiotherapy,"Caroline Springs Physiotherapy, Unit C2, 1042 Western Highway",CAROLINE SPRINGS,VIC,3023,NULL,0393637200,NULL,NULL,info@csphysio.net
60841,Caroline Springs Superclinic,234 Caroline Springs Boulevard,CAROLINE SPRINGS,VIC,3023,03 9363 7444,03 9307 4800,NULL,NULL,NULL
63160,Carolyn Rolls - Sandscapes,"Room 2, 101 Mitchell Street",ECHUCA,VIC,3564,NULL,03 5482 3800,NULL,NULL,NULL
62600,Carre Street Clinic,"Shop 2, 378 Glenhuntly Road",ELSTERNWICK,VIC,3185,03 9589 4185,03 9523 9114,NULL,NULL,NULL
62350,Carrier Street Chiropractic,38 Carrier Street,BENALLA,VIC,3672,03 5762 4130,03 5762 5151,NULL,NULL,carrierstchiro@bigpond.com
10179,Carrier Street Clinic,30 Carrier Street,Benalla,VIC,3672,5762 5991,5762 4629,NULL,NULL,NULL
60484,Carrier Street Clinic,30 Carrier Street,BENALLA,VIC,3672,03 5762 5991,03 5762 4629,NULL,NULL,cscadmin@carrierstreetclinic.com.au
51930,Carrington Consulting Suites,"Level 1, 43 Carrington Road",BOX HILL,VIC,3128,03 9843 5858,03 9843 5855,NULL,NULL,referrals.carrington@easternhealth.org.au
18217,Carrington Court SRS,50 - 52 Livingstone Rd,Vermont South,VIC,3133,NULL,9802 9232,NULL,NULL,NULL
65404,Carrington Health- Oral Health,43 Carrington Road,BOX HILL,VIC,3128,03 9898 8010,03 9897 1792,NULL,NULL,info@carringtonhealth.org.au
66218,Carrum Clinic,509 Station Street,CARRUM,VIC,3197,03 9773 2012,03 9772 9325,NULL,NULL,zevbarr@gmail.com
10274,CARRUM CLINIC,CARRUM CLINIC 509 STATION STREET,CARRUM,VIC,3197,9773 2012,9772 9325,NULL,NULL,NULL
18218,Carrum Downs,1135 Frankston-Dandenong Rd,Carrum Downs,VIC,3201,NULL,9782 1411,NULL,NULL,NULL
65957,Carrum Downs Chiropractic Centre,"2A, 117 Hall Road",CARRUM DOWNS,VIC,3201,0397829311,0397829111,NULL,NULL,cdchiro@bigpond.com
69164,Carrum Downs Dental Care,117B HALL ROAD,CARRUM DOWNS,VIC,3201,NULL,03 9783 0600,NULL,NULL,reception@carrumdownsdentalcare.com.au
40230,Carrum Downs Doctors,335 Ballarto Road,CARRUM DOWNS,VIC,3201,03 9707 9888,03 9707 9800,NULL,NULL,carrumdowns.mc@partneredhealth.com.au
68453,Carrum Downs Eyecare,"Carrum Downs Shopping Centre, Shop 18, 100 Hall Road",CARRUM DOWNS,VIC,3201,03 9782 9433,03 9782 9411,NULL,NULL,carrumdowns@visiononeeyecare.com.au
61925,Carrum Downs Family Dental,295 Ballarto Road,CARRUM DOWNS,VIC,3201,NULL,03 9786 2144,NULL,NULL,info@carrumdownsdentist.com.au
61511,Carrum Downs Medical Centre,113A HALL ROAD,CARRUM DOWNS,VIC,3201,0397826663,0397826666,NULL,NULL,info@cdmc.com.au
66147,Carrum Downs Podiatry,274 Frankston-dandenong Road,SEAFORD,VIC,3198,NULL,03 8740 9927,NULL,NULL,NULL
18219,Carshalton House,Stoneham St,Golden Square,VIC,3555,NULL,5441 8588,NULL,NULL,NULL
18220,Casa Elda Vaccari,863 Brunswick St North,Fitzroy North,NSP,NULL,9482 3836,9482 1444,NULL,NULL,NULL
18221,Casa Serena Retirement Village,50 Holmes Rd,Monee Ponds,VIC,3039,NULL,9326 0763,NULL,NULL,NULL
60330,Cascade Road General Practice,30A Cascade Road,SOUTH HOBART,TAS,7004,03 6224 2393,03 6223 5533,NULL,NULL,cascaderoad.mc@partneredhealth.com.au
69010,Casey Allied Health,54 Kangan Drive,BERWICK,VIC,3806,03 8732 0313,03 8774 9600,NULL,NULL,admin@caseyalliedhealth.com.au
61612,Casey Anaesthetic Services,2 Ryder Street,NOBLE PARK,VIC,3174,03 9706 8430,03 9791 2733,NULL,NULL,manager@caseyanaesthetics.com.au
63354,Casey ARC Physiotherapy & Sports Injury Clinic,10 Patrick NE Drive,NARRE WARREN,VIC,3805,03 8790 1329,03 8790 1741,NULL,NULL,info@caseyarcphysio.com.au
62487,Casey Chiropractic,17 Cranbourne Place,CRANBOURNE,VIC,3977,03 5996 3245,03 5996 8222,NULL,NULL,staff@caseychiro.com.au
28850,Casey Day Procedure Centre,1A/30-32 Verdun Drive,Narre Warren,VIC,3805,NULL,NULL,NULL,NULL,NULL
65213,Casey Dental Group,236 Narre Warren-Cranbourne Road,NARRE WARREN SOUTH,VIC,3805,03 8790 2327,03 9705 1755,NULL,NULL,reception@caseydentalgroup.com.au
62882,Casey Eye Centre,"Level 4 Unit 401, 65 Victor Crescent",NARRE WARREN,VIC,3805,03 9966 9903,03 8797 0752,NULL,NULL,reception@caseyeyecentre.com.au
61184,Casey Fam Clinic,154 Cleeland Street,DANDENONG,VIC,3175,03 9794 5116,03 9794 5499,NULL,NULL,NULL
40991,Casey Family Practice,405 Princes Highway,NARRE WARREN,VIC,3805,03 9705 6322,03 9704 7244,NULL,NULL,caseyfamilypractice@gmail.com
9366,Casey Gardens Day Hospital,3-23 Cranbourne Road,Narre Warren,VIC,3805,NULL,03 8790 2711,NULL,NULL,NULL
52550,Casey Gate Medical Centre,33-34 MacK Road,NARRE WARREN SOUTH,VIC,3805,03 8786 5977,03 8786 5955,NULL,NULL,admin@caseygatemc.com.au
9219,Casey Hospital,52 Kangan Drive,Berwick,VIC,3806,NULL,03 8768 1200,NULL,NULL,NULL
18222,Casey Manor,445 Ormond Rd,Narre Warren South,VIC,3805,NULL,9703 0188,NULL,NULL,NULL
60454,Casey Medical Centre,197 High Street,CRANBOURNE,VIC,3977,03 5996 8243,03 5991 1222,NULL,NULL,caseymed@caseymedical.com.au
10162,Casey Medical Centre,197 High Street,Cranbourne,VIC,3977,5996 8243,5991 1222,NULL,NULL,NULL
54030,Casey Medical Centre Clyde,1 Morison Road,CLYDE,VIC,3978,03 5991 1260,03 5991 1222,NULL,NULL,clydereception@caseymedical.com.au
65534,Casey Optometrist,"Shop 105, 400 Narre Warren - Cranbourne Road",NARRE WARREN SOUTH,VIC,3805,03 9705 9298,03 9705 2058,NULL,NULL,caseyoptometrist@gmail.com
61463,Casey Osteopathic Health Services,2 Stella Street,BEACONSFIELD,VIC,3807,03 9707 0401,03 9769 9881,NULL,NULL,casey.osteo@bigpond.com
62296,Casey Smiles Dental Clinic,"Unit 2, 14 STAWELL STREET",CRANBOURNE,VIC,3977,NULL,03 5996 6273,NULL,NULL,NULL
66762,Casey Surgical Group,"Suite 2, 55 Kangan Drive",BERWICK,VIC,3806,03 9769 5328,03 9707 3664,NULL,NULL,csg@caseysurgical.com.au
73312,"Cass Dolby - Counsellor, Clinical Mental Health Social Worker, Family Therapist",56 Waterloo Road,NORTHCOTE,VIC,3070,NULL,0422 747 897,NULL,NULL,NULL
18223,Cassia House,371 Manningham Rd,Doncaster,VIC,3108,NULL,9856 1200,NULL,NULL,NULL
61451,Casterton Medical Clinic,"Russell House, 67-69 Russell Street",CASTERTON,VIC,3311,03 5554 2660,03 5554 2655,NULL,NULL,cpayne.cmc@swarh.vic.gov.au
55391,Casterton Medical Clinic,63 Russell St,Casterton,VIC,3311,5554 2660,5554 2655,NULL,NULL,NULL
63752,Casterton Memorial Hospital,"Casterton Memorial Hospital, 63-69 Russell Street",CASTERTON,VIC,3311,03 5581 1051,03 5554 2555,NULL,NULL,mail@cmh.org.au
9167,Casterton Memorial Hospital,63-69 Russell Street,Casterton,VIC,3311,NULL,03 5554 2555,NULL,NULL,NULL
18224,Casterton Memorial Hospital Glenelg House Residential Care,63-69 Russell St,Casterton,VIC,3311,NULL,5554 2555,NULL,NULL,NULL
63050,Castlemaine Chiropractic - Glen Warne Chiropractic,77 Forest Street,CASTLEMAINE,VIC,3450,03 5272 3454,0449 801 553,NULL,NULL,taylorchiropractic7@gmail.com
66290,Castlemaine Clinical Psychology,10 Templeton Street,CASTLEMAINE,VIC,3450,03 5470 6912,03 5470 6912,NULL,NULL,elwood11@internode.on.net
9229,Castlemaine Health,142 Cornish Street,Castlemaine,VIC,3450,NULL,03 5471 1555,NULL,NULL,NULL
66213,Castlemaine Health,142 Cornish Street,CASTLEMAINE,VIC,3450,03 5472 4546,03 5471 3555,NULL,NULL,publicrel@castlemainehealth.org.au
66103,Castlemaine Holistic Therapies,257 Barker Street,CASTLEMAINE,VIC,3450,NULL,03 5470 5588,NULL,NULL,admin@castlemainephysiotherapy.com.au
61775,Castlemaine Podiatry,377 BARKER STREET,CASTLEMAINE,VIC,3450,03 5445 5991,03 5470 5260,NULL,NULL,admin@castlemainepodiatry.com.au
